iter	Logloss	AUC
424	0.577426842	0.7576229954
425	0.5773798524	0.7576641764
426	0.577353979	0.7576911601
427	0.5773374236	0.7577105269
428	0.5773055554	0.7577497703
429	0.5772788429	0.7577707476
430	0.5771974352	0.7578587361
431	0.5771365126	0.7579059512
432	0.5770558016	0.7579791076
433	0.5770292669	0.7580027753
434	0.5769692233	0.7580763814
435	0.576906778	0.7581622256
436	0.5768809638	0.7581937794
437	0.5768518448	0.7582289239
438	0.576816179	0.7582602665
439	0.576773754	0.7583276279
440	0.5767481635	0.75835403
441	0.5766835832	0.7583882398
442	0.5766129783	0.7584617164
443	0.5765363195	0.7585283365
444	0.5764944442	0.7585724151
445	0.5764585147	0.7586111489
446	0.5763701105	0.7586492615
447	0.5763379441	0.7586932888
448	0.5762448126	0.7587941208
449	0.5762052258	0.758829374
450	0.5761302727	0.7589276334
451	0.5760875828	0.7589830736
452	0.576065844	0.7590113571
453	0.576029866	0.7590539801
454	0.5759579381	0.7590809186
455	0.5759402742	0.7591078323
456	0.5758852821	0.7591675711
457	0.5758177192	0.7592210893
458	0.5758043142	0.7592373857
459	0.575769341	0.7592718375
460	0.5757390144	0.7593038157
461	0.5757044925	0.7593401255
462	0.5756779986	0.7593656991
463	0.5756124995	0.7594093921
464	0.5755899473	0.7594433621
465	0.5755270029	0.7595256893
466	0.5755123298	0.7595461829
467	0.5754442753	0.7596343567
468	0.575378589	0.7596642057
469	0.575348013	0.7597112342
470	0.5752980522	0.7597613949
471	0.575237624	0.7598320875
472	0.5752194002	0.7598528726
473	0.5751377533	0.759932731
474	0.5751120499	0.7599732514
475	0.5750756873	0.7600289341
476	0.5750599149	0.7600451531
477	0.5750432192	0.76006418
478	0.5750193743	0.7600979975
479	0.5749787971	0.7601510186
480	0.5749400321	0.7602068879
481	0.5749175303	0.7602261817
482	0.5748989669	0.7602508653
483	0.5748677985	0.7602811212
484	0.5748540291	0.7602962783
485	0.5747814939	0.7603680306
486	0.5747647609	0.7603909116
487	0.5746990172	0.760478762
488	0.5746011846	0.7605402776
489	0.5745691677	0.7605928224
490	0.5745450563	0.7606283109
491	0.5745186515	0.7606609262
492	0.5744962201	0.7606991765
493	0.5744586278	0.760745061
494	0.5744329492	0.7607855819
495	0.5744162483	0.7608082154
496	0.5743664708	0.7608431919
497	0.5743105843	0.7608845068
498	0.5742896792	0.7609083282
499	0.5742738364	0.7609343519
500	0.5742289292	0.761000506
501	0.5741984137	0.7610487495
502	0.5741819515	0.7610717531
503	0.5741541576	0.7611072075
504	0.5741260116	0.7611372178
505	0.5740953069	0.761179068
506	0.5740612832	0.7612313736
507	0.5739640994	0.7612655083
508	0.5739308628	0.7613069751
509	0.5739086559	0.7613306872
510	0.573846087	0.761380005
511	0.5737919609	0.7614272095
512	0.573762869	0.7614551624
513	0.57374342	0.7614832057
514	0.5737264677	0.7615069564
515	0.5736984456	0.7615499177
516	0.5736193662	0.7615994341
517	0.5735427498	0.7616732612
518	0.5734819016	0.7617535248
519	0.5734614257	0.7617848944
520	0.5734375818	0.7618055072
521	0.5734034573	0.7618373076
522	0.5733897926	0.7618512354
523	0.5733341608	0.7619206671
524	0.5733138268	0.7619466355
525	0.5732834408	0.7619814217
526	0.5732544789	0.7620129617
527	0.5732384586	0.7620362306
528	0.5731873952	0.762080438
529	0.573159601	0.7621093319
530	0.573065603	0.7621703803
531	0.57302894	0.7622199504
532	0.5730011998	0.7622629638
533	0.5729228859	0.7623437234
534	0.5728508394	0.7623884995
535	0.5728286637	0.762407427
536	0.5727762834	0.7624703747
537	0.5727528643	0.7624930571
538	0.5726793095	0.7625383865
539	0.5726178497	0.7625976233
540	0.5725526364	0.7626205059
541	0.5724937438	0.7626744667
542	0.5724778982	0.7626959641
543	0.5724438538	0.7627265867
544	0.5724306741	0.7627450648
545	0.5723576936	0.7628065103
546	0.572292986	0.7628355619
547	0.5721992617	0.7629212344
548	0.5721825124	0.7629431552
549	0.5721603296	0.7629798368
550	0.5721312017	0.7630102228
551	0.5721022259	0.7630312287
552	0.5720797875	0.763062934
553	0.5720338276	0.7631366557
554	0.5720123617	0.7631690284
555	0.5719890469	0.7632030968
556	0.571934219	0.7632306592
557	0.5719140247	0.7632593849
558	0.5718668737	0.7633243855
559	0.5718477953	0.7633475509
560	0.5718273746	0.7633679674
561	0.5718137714	0.7633821776
562	0.5717686595	0.7634400168
563	0.5717489373	0.7634721896
564	0.5717165766	0.7635147615
565	0.5716928547	0.7635447463
566	0.5716610593	0.7635771751
567	0.5716416089	0.7635975849
568	0.5716049618	0.7636348756
